,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
74,VY Test,Disfirst_inverse,,-0.7199424046076314,,DFi1,(based on tag),,1389,"dispref_inverse (30, todipe.wav)",VY Test,211165,,,,,p,,,(based on tag)
75,VY Test,Disfirst_inverse,,-0.5534034311012729,,DFi1,(based on tag),,1807,"dispref_inverse (20, gutope.wav)",VY Test,213124,,,,,p,,,(based on tag)
76,VY Test,Disfirst_inverse,,-0.8361204013377926,,DFi1,(based on tag),,1196,"dispref_inverse (24, pigepe.wav)",VY Test,214514,,,,,p,,,(based on tag)
77,VY Test,Disfirst_inverse,,-1.0615711252653928,,DFi1,(based on tag),,942,"dispref_inverse (1, bidob.wav)",VY Test,215654,,,,,b,,,(based on tag)
78,VY Test,Disfirst_inverse,,-0.9354536950420954,,DFi1,(based on tag),,1069,"dispref_inverse (23, pigeb.wav)",VY Test,216904,,,,,b,,,(based on tag)
79,VY Test,Disfirst_inverse,,-0.6540222367560498,,DFi1,(based on tag),,1529,"dispref_inverse (27, tekub.wav)",VY Test,218623,,,,,b,,,(based on tag)
80,VY Test,Disfirst_inverse,,-0.6112469437652812,,DFi1,(based on tag),,1636,"dispref_inverse (16, dokupe.wav)",VY Test,220403,,,,,p,,,(based on tag)
81,VY Test,Disfirst_inverse,,-0.7739938080495357,,DFi1,(based on tag),,1292,"dispref_inverse (2, bidope.wav)",VY Test,221843,,,,,p,,,(based on tag)
82,VY Test,Disfirst_inverse,,-0.7246376811594203,,DFi1,(based on tag),,1380,"dispref_inverse (11, dikeb.wav)",VY Test,223373,,,,,b,,,(based on tag)
83,VY Test,Disfirst_inverse,,-0.7751937984496124,,DFi1,(based on tag),,1290,"dispref_inverse (14, dogipe.wav)",VY Test,224862,,,,,p,,,(based on tag)
84,VY Test,Disfirst_inverse,,-0.9746588693957114,,DFi1,(based on tag),,1026,"dispref_inverse (21, pidob.wav)",VY Test,226052,,,,,b,,,(based on tag)
85,VY Test,Disfirst_inverse,,-0.7092198581560284,,DFi1,(based on tag),,1410,"dispref_inverse (28, tekupe.wav)",VY Test,227622,,,,,p,,,(based on tag)
86,VY Test,Disfirst_inverse,,-0.6027727546714888,,DFi1,(based on tag),,1659,"dispref_inverse (26, potipe.wav)",VY Test,229481,,,,,p,,,(based on tag)
87,VY Test,Disfirst_inverse,,-0.6954102920723226,,DFi1,(based on tag),,1438,"dispref_inverse (18, gotepe.wav)",VY Test,231071,,,,,p,,,(based on tag)
88,VY Test,Disfirst_inverse,,-0.12941633234114144,,DFi1,(any response),,7727,Please take a b...,VY Test,237360,,,,,,,,(any response)
89,VY Test,Disfirst_inverse,,-0.7604562737642585,,DFi1,(based on tag),,1315,"dispref_inverse (15, dokub.wav)",VY Test,238910,,,,,b,,,(based on tag)
90,VY Test,Disfirst_inverse,,-0.5564830272676683,,DFi1,(based on tag),,1797,"dispref_inverse (9, degob.wav)",VY Test,240850,,,,,b,,,(based on tag)
91,VY Test,Disfirst_inverse,,-0.9737098344693281,,DFi1,(based on tag),,1027,"dispref_inverse (11, dikeb.wav)",VY Test,242069,,,,,b,,,(based on tag)
92,VY Test,Disfirst_inverse,,-0.7342143906020558,,DFi1,(based on tag),,1362,"dispref_inverse (30, todipe.wav)",VY Test,243579,,,,,p,,,(based on tag)
93,VY Test,Disfirst_inverse,,-0.8818342151675485,,DFi1,(based on tag),,1134,"dispref_inverse (29, todib.wav)",VY Test,244868,,,,,b,,,(based on tag)
94,VY Test,Disfirst_inverse,,-0.9363295880149812,,DFi1,(based on tag),,1068,"dispref_inverse (19, gutob.wav)",VY Test,246148,,,,,b,,,(based on tag)
95,VY Test,Disfirst_inverse,,-0.7385524372230429,,DFi1,(based on tag),,1354,"dispref_inverse (26, potipe.wav)",VY Test,247678,,,,,p,,,(based on tag)
96,VY Test,Disfirst_inverse,,-0.8968609865470852,,DFi1,(based on tag),,1115,"dispref_inverse (17, goteb.wav)",VY Test,248948,,,,,b,,,(based on tag)
97,VY Test,Disfirst_inverse,,-0.7163323782234957,,DFi1,(based on tag),,1396,"dispref_inverse (8, bugipe.wav)",VY Test,250497,,,,,p,,,(based on tag)
98,VY Test,Disfirst_inverse,,-0.6345177664974619,,DFi1,(based on tag),,1576,"dispref_inverse (32, todupe.wav)",VY Test,252227,,,,,p,,,(based on tag)
99,VY Test,Disfirst_inverse,,-0.6622516556291391,,DFi1,(based on tag),,1510,"dispref_inverse (4, bikupe.wav)",VY Test,253887,,,,,p,,,(based on tag)
100,VY Test,Disfirst_inverse,,-0.6373486297004461,,DFi1,(based on tag),,1569,"dispref_inverse (6, bogepe.wav)",VY Test,255607,,,,,p,,,(based on tag)
101,VY Test,Disfirst_inverse,,-0.8488964346349746,,DFi1,(based on tag),,1178,"dispref_inverse (5, bogeb.wav)",VY Test,256936,,,,,b,,,(based on tag)
102,VY Test,Disfirst_inverse,,-0.7057163020465773,,DFi1,(based on tag),,1417,"dispref_inverse (22, pidope.wav)",VY Test,258506,,,,,p,,,(based on tag)
103,VY Test,Disfirst_inverse,,-0.6993006993006993,,DFi1,(based on tag),,1430,"dispref_inverse (28, tekupe.wav)",VY Test,260096,,,,,p,,,(based on tag)
104,VY Test,Disfirst_inverse,,-0.7256894049346879,,DFi1,(based on tag),,1378,"dispref_inverse (31, todub.wav)",VY Test,261625,,,,,b,,,(based on tag)
105,VY Test,Disfirst_inverse,,-0.8503401360544217,,DFi1,(based on tag),,1176,"dispref_inverse (3, bikub.wav)",VY Test,262955,,,,,b,,,(based on tag)
106,VY Test,Disfirst_inverse,,-0.697350069735007,,DFi1,(based on tag),,1434,"dispref_inverse (13, dogib.wav)",VY Test,264545,,,,,b,,,(based on tag)
107,VY Test,Disfirst_inverse,,-0.5219206680584552,,DFi1,(based on tag),,1916,"dispref_inverse (25, potib.wav)",VY Test,266614,,,,,b,,,(based on tag)
108,VY Test,Disfirst_inverse,,-0.6720430107526881,,DFi1,(based on tag),,1488,"dispref_inverse (14, dogipe.wav)",VY Test,268254,,,,,p,,,(based on tag)
