,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
1, 6.30.25,DisFirst_reg,,-0.025040691123075,,Dis_reg1,(any response),,39935,Practice_Instructions, 6.30.25,39955,,,,,,,,(any response)
2, 6.30.25,DisFirst_reg,,-0.1866019779809666,,Dis_reg1,(based on tag),,5359,"Practice (1, bumblebee.wav)", 6.30.25,45834,,,,,b,,,(based on tag)
3, 6.30.25,DisFirst_reg,,-0.24372410431391664,,Dis_reg1,(based on tag),,4103,"Practice (2, canopy.wav)", 6.30.25,50583,,,,,p,,,(based on tag)
4, 6.30.25,DisFirst_reg,,-0.5141388174807198,,Dis_reg1,(based on tag),,1945,"Practice (3, cob.wav)", 6.30.25,53183,,,,,b,,,(based on tag)
5, 6.30.25,DisFirst_reg,,-0.6887052341597796,,Dis_reg1,(based on tag),,1452,"Practice (4, copy.wav)", 6.30.25,55282,,,,,p,,,(based on tag)
6, 6.30.25,DisFirst_reg,,-0.22396416573348266,,Dis_reg1,(based on tag),,4465,"Practice (5, crab.wav)", 6.30.25,60391,,,,,b,,,(based on tag)
7, 6.30.25,DisFirst_reg,,-0.7716049382716049,,Dis_reg1,(based on tag),,1296,"Practice (6, crimp.wav)", 6.30.25,62331,,,,,p,,,(based on tag)
8, 6.30.25,DisFirst_reg,,-0.6146281499692686,,Dis_reg1,(based on tag),,1627,"Practice (7, flop.wav)", 6.30.25,64561,,,,,p,,,(based on tag)
9, 6.30.25,DisFirst_reg,,-0.7331378299120235,,Dis_reg1,(based on tag),,1364,"Practice (8, grab.wav)", 6.30.25,66560,,,,,b,,,(based on tag)
10, 6.30.25,DisFirst_reg,,-1.1111111111111112,,Dis_reg1,(based on tag),,900,"Practice (9, grub.wav)", 6.30.25,68120,,,,,b,,,(based on tag)
11, 6.30.25,DisFirst_reg,,-0.5834305717619603,,Dis_reg1,(based on tag),,1714,"Practice (10, hippie.wav)", 6.30.25,70470,,,,,p,,,(based on tag)
12, 6.30.25,DisFirst_reg,,-0.6468305304010349,,Dis_reg1,(based on tag),,1546,"Practice (11, lobe.wav)", 6.30.25,72649,,,,,b,,,(based on tag)
13, 6.30.25,DisFirst_reg,,-0.43252595155709345,,Dis_reg1,(based on tag),,2312,"Practice (12, maybe.wav)", 6.30.25,75639,,,,,b,,,(based on tag)
14, 6.30.25,DisFirst_reg,,-0.35137034434293746,,Dis_reg1,(based on tag),,2846,"Practice (13, placebo.wav)", 6.30.25,79128,,,,,b,,,(based on tag)
15, 6.30.25,DisFirst_reg,,-0.5837711617046117,,Dis_reg1,(based on tag),,1713,"Practice (14, pope.wav)", 6.30.25,81488,,,,,p,,,(based on tag)
16, 6.30.25,DisFirst_reg,,-0.779423226812159,,Dis_reg1,(based on tag),,1283,"Practice (15, ripe.wav)", 6.30.25,83397,,,,,p,,,(based on tag)
