.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	J_M
.Session ID	DF_1
.Date	9/11/2025	9:25:32 AM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DisFirst_reg	J_M	DF_1	dispref	dispref, 12	dispref (12, dikepe.wav)	199714	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1978	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 30	dispref (30, todipe.wav)	201464	Button 4 (left thumb)	4	Pressed	(based on tag)	E	1597	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 29	dispref (29, todib.wav)	203023	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1404	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 24	dispref (24, pigepe.wav)	204583	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1391	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 26	dispref (26, potipe.wav)	206193	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1456	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 6	dispref (6, bogepe.wav)	208642	Button 4 (left thumb)	4	Pressed	(based on tag)	E	2295	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 11	dispref (11, dikeb.wav)	211212	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2414	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 1	dispref (1, bidob.wav)	214352	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2943	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 32	dispref (32, todupe.wav)	215751	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1218	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 5	dispref (5, bogeb.wav)	217521	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1601	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 14	dispref (14, dogipe.wav)	220290	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2616	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 10	dispref (10, degope.wav)	222301	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1848	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 31	dispref (31, todub.wav)	223760	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1298	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 21	dispref (21, pidob.wav)	225990	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2081	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 28	dispref (28, tekupe.wav)	227449	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1257	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 18	dispref (18, gotepe.wav)	229039	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1418	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 18	Please take a b...	230808	Button 5 (right thumb)	5	Pressed	(any response)	C	3187	
DisFirst_reg	J_M	DF_1	dispref	dispref, 11	dispref (11, dikeb.wav)	233098	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2011	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 21	dispref (21, pidob.wav)	235069	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1823	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 31	dispref (31, todub.wav)	237357	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2112	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 32	dispref (32, todupe.wav)	238647	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1148	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 28	dispref (28, tekupe.wav)	239947	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1067	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 9	dispref (9, degob.wav)	241347	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1075	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 19	dispref (19, gutob.wav)	242697	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1151	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 14	dispref (14, dogipe.wav)	244196	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1344	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 27	dispref (27, tekub.wav)	245546	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1202	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 25	dispref (25, potib.wav)	246896	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1193	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 4	dispref (4, bikupe.wav)	249446	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2392	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 7	dispref (7, bugib.wav)	250905	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1266	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 2	dispref (2, bidope.wav)	252215	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1137	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 8	dispref (8, bugipe.wav)	253534	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1087	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 12	dispref (12, dikepe.wav)	255104	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1238	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 29	dispref (29, todib.wav)	256304	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1050	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 23	dispref (23, pigeb.wav)	257654	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1196	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 26	dispref (26, potipe.wav)	259183	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1376	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 24	dispref (24, pigepe.wav)	260733	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1390	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 15	dispref (15, dokub.wav)	262323	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1443	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 10	dispref (10, degope.wav)	264562	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2092	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 16	dispref (16, dokupe.wav)	266012	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1305	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 20	dispref (20, gutope.wav)	267852	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1695	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 5	dispref (5, bogeb.wav)	269141	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1146	b
