.Experiment Name	Phoneme_VoicedVoiceless_6.27_25_
.Participant Name	Dis_reg1
.Session ID	 6.30.25
.Date	6/30/2025	8:47:01 AM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 3	dispref (3, bikub.wav)	128829	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1023	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 2	dispref (2, bidope.wav)	130158	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1127	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 7	dispref (7, bugib.wav)	131578	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1182	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 28	dispref (28, tekupe.wav)	133048	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1306	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 18	dispref (18, gotepe.wav)	134578	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1364	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 11	dispref (11, dikeb.wav)	135937	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1214	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 25	dispref (25, potib.wav)	137267	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1184	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 26	dispref (26, potipe.wav)	138747	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1321	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 9	dispref (9, degob.wav)	140627	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1682	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 14	dispref (14, dogipe.wav)	142056	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1231	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 24	dispref (24, pigepe.wav)	143616	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1407	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 1	dispref (1, bidob.wav)	144856	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1036	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 5	dispref (5, bogeb.wav)	146045	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1044	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 30	dispref (30, todipe.wav)	147395	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1193	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 21	dispref (21, pidob.wav)	148525	Button 4 (left thumb)	4	Pressed	(based on tag)	C	905	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 20	dispref (20, gutope.wav)	149895	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1209	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 31	dispref (31, todub.wav)	151064	Button 4 (left thumb)	4	Pressed	(based on tag)	C	969	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 19	dispref (19, gutob.wav)	152374	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1167	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 13	dispref (13, dogib.wav)	153614	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1086	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 13	Please take a b...	164612	Button 5 (right thumb)	5	Pressed	(any response)	C	12084	
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 8	dispref (8, bugipe.wav)	166112	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1364	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 7	dispref (7, bugib.wav)	167541	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1287	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 25	dispref (25, potib.wav)	169311	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1625	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 17	dispref (17, goteb.wav)	170721	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1217	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 31	dispref (31, todub.wav)	172001	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1093	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 10	dispref (10, degope.wav)	173470	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1313	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 11	dispref (11, dikeb.wav)	174610	Button 4 (left thumb)	4	Pressed	(based on tag)	C	971	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 21	dispref (21, pidob.wav)	175600	Button 4 (left thumb)	4	Pressed	(based on tag)	C	838	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 5	dispref (5, bogeb.wav)	176660	Button 4 (left thumb)	4	Pressed	(based on tag)	C	831	b
