.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	DFi_2
.Session ID	AP
.Date	9/15/2025	2:58:38 PM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DisFirst_reg	DFi_2	AP	dispref	dispref, 7	dispref (7, bugib.wav)	102245	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1143	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 26	dispref (26, potipe.wav)	103665	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1266	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 9	dispref (9, degob.wav)	104955	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1127	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 14	dispref (14, dogipe.wav)	106365	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1249	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 11	dispref (11, dikeb.wav)	107814	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1264	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 27	dispref (27, tekub.wav)	109024	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1060	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 31	dispref (31, todub.wav)	110194	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1003	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 20	dispref (20, gutope.wav)	111854	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1513	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 13	dispref (13, dogib.wav)	114623	Button 5 (right thumb)	5	Pressed	(based on tag)	E	2607	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 22	dispref (22, pidope.wav)	116573	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1758	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 32	dispref (32, todupe.wav)	118302	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1581	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 17	dispref (17, goteb.wav)	119772	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1268	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 3	dispref (3, bikub.wav)	121342	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1399	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 19	dispref (19, gutob.wav)	122632	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1138	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 6	dispref (6, bogepe.wav)	124081	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1298	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 16	dispref (16, dokupe.wav)	126101	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1865	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 16	Please take a b...	130380	Button 4 (left thumb)	4	Pressed	(any response)	C	6144	
DisFirst_reg	DFi_2	AP	dispref	dispref, 24	dispref (24, pigepe.wav)	131930	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1277	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 4	dispref (4, bikupe.wav)	133440	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1356	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 10	dispref (10, degope.wav)	134979	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1365	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 26	dispref (26, potipe.wav)	136509	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1323	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 23	dispref (23, pigeb.wav)	137799	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1113	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 14	dispref (14, dogipe.wav)	139169	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1215	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 32	dispref (32, todupe.wav)	140709	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1369	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 22	dispref (22, pidope.wav)	142208	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1341	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 27	dispref (27, tekub.wav)	143378	Button 4 (left thumb)	4	Pressed	(based on tag)	C	998	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 13	dispref (13, dogib.wav)	145108	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1514	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 30	dispref (30, todipe.wav)	146497	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1198	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 28	dispref (28, tekupe.wav)	148107	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1387	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 1	dispref (1, bidob.wav)	149207	Button 4 (left thumb)	4	Pressed	(based on tag)	C	952	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 20	dispref (20, gutope.wav)	150717	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1357	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 5	dispref (5, bogeb.wav)	151947	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1031	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 31	dispref (31, todub.wav)	153126	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1027	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 15	dispref (15, dokub.wav)	154286	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1011	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 12	dispref (12, dikepe.wav)	155766	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1314	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 2	dispref (2, bidope.wav)	157296	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1379	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 16	dispref (16, dokupe.wav)	158765	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1302	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 6	dispref (6, bogepe.wav)	160505	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1583	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 19	dispref (19, gutob.wav)	161634	Button 4 (left thumb)	4	Pressed	(based on tag)	C	969	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 11	dispref (11, dikeb.wav)	162784	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1000	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 25	dispref (25, potib.wav)	164714	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1764	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 3	dispref (3, bikub.wav)	166214	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1337	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 8	dispref (8, bugipe.wav)	167613	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1254	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 7	dispref (7, bugib.wav)	169623	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1841	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 21	dispref (21, pidob.wav)	170783	Button 5 (right thumb)	5	Pressed	(based on tag)	E	997	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 17	dispref (17, goteb.wav)	173243	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2303	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 18	dispref (18, gotepe.wav)	174812	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1403	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 9	dispref (9, degob.wav)	176432	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1463	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 29	dispref (29, todib.wav)	178062	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1470	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 29	Please take a b...	180561	Button 4 (left thumb)	4	Pressed	(any response)	C	3969	
DisFirst_reg	DFi_2	AP	dispref	dispref, 17	dispref (17, goteb.wav)	182061	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1239	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 25	dispref (25, potib.wav)	183300	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1084	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 11	dispref (11, dikeb.wav)	185230	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1763	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 23	dispref (23, pigeb.wav)	186650	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1266	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 24	dispref (24, pigepe.wav)	188010	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1203	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 9	dispref (9, degob.wav)	189240	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1040	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 19	dispref (19, gutob.wav)	190489	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1092	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 12	dispref (12, dikepe.wav)	192429	Button 4 (left thumb)	4	Pressed	(based on tag)	E	1784	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 28	dispref (28, tekupe.wav)	194329	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1740	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 27	dispref (27, tekub.wav)	195638	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1161	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 5	dispref (5, bogeb.wav)	196858	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1056	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 6	dispref (6, bogepe.wav)	198308	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1251	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 16	dispref (16, dokupe.wav)	199778	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1309	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 7	dispref (7, bugib.wav)	200807	Button 4 (left thumb)	4	Pressed	(based on tag)	C	879	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 26	dispref (26, potipe.wav)	202037	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1043	p
