.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	DFi1
.Session ID	VY Test
.Date	9/9/2025	2:42:25 PM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 27	dispref_inverse (27, tekub.wav)	135869	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1238	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 3	dispref_inverse (3, bikub.wav)	137278	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1211	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 1	dispref_inverse (1, bidob.wav)	138478	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1054	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 10	dispref_inverse (10, degope.wav)	139948	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1319	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 20	dispref_inverse (20, gutope.wav)	141328	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1227	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 14	dispref_inverse (14, dogipe.wav)	142777	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1264	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 17	dispref_inverse (17, goteb.wav)	144117	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1177	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 16	dispref_inverse (16, dokupe.wav)	145697	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1426	p
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 21	dispref_inverse (21, pidob.wav)	147047	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1173	b
Disfirst_inverse	DFi1	VY Test	Dispref_inverse	dispref_inverse, 19	dispref_inverse (19, gutob.wav)	148237	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1023	b
